x_0	y_0	flux_0	id	group_id	x_fit	y_fit	flux_fit	flux_unc	x_0_unc	y_0_unc
570.4462143924185	460.6646347494623	269169.70124919637	1	1	572.5695865408604	464.11063983766707	483162.742091364	3302.200525714587	0.01976511451322321	0.020107883108948305
581.0388590230069	617.0486353637573	2298.0582474454973	2	2	579.7387404057916	617.4986034925923	2661.1872531492318	183.56359690426896	0.1972591541939376	0.1971576434785732
316.73174893579574	460.5634766782748	2085.932915460623	3	3	313.7498073951295	467.9387700962282	31316.031633752613	819.6994583421323	0.03394698808006035	0.06490393368092517
746.2880467442469	387.80377932046184	6961.61109734529	4	4	746.4530281188639	386.92973485922937	7580.527417454077	176.88414380925474	0.06669947690129915	0.06670790212418296
330.8955124849992	227.89660644250347	6239.931311985942	5	5	330.06893936122634	229.68065916628814	7619.302771976172	172.19071100190362	0.0646059534739941	0.06471430035764097
517.76229789467	154.18745580315903	394.8040060756963	6	6	524.6323875456757	151.27977032167882	2738.4154191102693	503.1470724338448	0.5040352152712549	0.27919899952584465
811.0421008425676	275.51181235072477	71328.34931032857	7	7	811.3919538572234	276.9164405112226	79618.58357215712	602.6904806864496	0.02163830319682772	0.021637430031173164
118.05457745235513	498.2886928084265	15248.015303791126	8	8	118.08343643419363	499.4460741408873	16881.990597104024	233.0281621918077	0.03944808860596999	0.03949843973324442
521.6009925037125	888.4395662212553	20444.485383354116	9	9	523.1314627933366	887.2526197821569	23804.425857101083	245.12592302002088	0.029442493959773483	0.029437494951407153
737.4252248467736	821.7161222241524	5015.3155620706675	10	10	738.965507764188	822.9206075506232	5739.709211283628	178.51478949943558	0.08923514725350826	0.08891572960783609
105.37059939955334	782.8570559343173	8639.249595478102	11	11	105.35141378025565	781.1906050786333	9731.554008101524	193.11421176362165	0.056710226730149214	0.056849801469874756
948.921010129364	745.0585539949623	200.9581101170714	12	12	949.0827791458629	746.0552640346424	473.4914067164671	215.96485074723043	1.3037334167997288	1.3040988778363158
